Nome,Volume,Num Pagina,Numeração,Categ_atrativo,N° da Subcategoria,N° de Entrada,Categoria,Subcategoria,Localização,Bairro/Colônia,CEP,GPS,Descrição,Descrição2,Área,Celular/Whatsapp,Telefone Fixo/whatsapp,Tombado,Proprietário/Responsável,email,Midias Sociais,website,Reserva,Horário,"Observações, Serviços e Equipamentos",Acessibilidade,Como chegar,Destaque,Data de inauguração,Estacionamento,Capacidade máxima,Restrições,Especialidade,Receitas autorais,Cadastur,N° de Leitos solteiros,N° de Leitos casais,N° de unidades habitacionais,Autoria
Titolla - Café Ateliê de Bolacha,Volume II,326,316,5,2,46,Equipamentos e Serviços,"Cafés, Bares e Lanches","R. Ivaí, 216",São Pedro,83020-080,"-25.54946930399626, -49.192184148416246",Nesse charmoso ateliê de bolachas austríacas mãe e filha se uniram para criar bolachas artesanais  cuidadosamente preparadas. As receitas de família são cuidadosamente preparadas e proporcionam uma experiência única.,"Os  clientes podem desfrutar de um café completo e artesanal em um jardim lindamente decorado. A decoração inspirada na Áustria  transporta os visitantes para um cenário de contos de fada, tornando cada visita uma  experiência encantadora.",Urbana,(41)9 9903-6008,,,,,@titollabolachas,www.titollabolachas.com.br,É necessário fazer reservas para o café. O local aceita reservas para eventos.,Seg a Sex: 08:00h às 18:00h. Sab e Dom: Fechado. Horário pode variar  em feriados.,"Café da manhão ou da tarde, venda de produtos, café de experiência, oficinas de bolachas, vivência para mães e filhos. Cursos temáticas  para lazer ou para interessados em novos empreendimentos relacionados à produção de biscoitos.",Não,"4 Km do aeroporto;  2,4 Km do centro;  400 m da Av. das Torres","As  bolachas  surpreendem pelo sabor, textura e aroma. A decoração do Jardim e de todo o local transporta a pessoa para a Europa e com  elementos da natureza.",2015,Não. Estacionamento fácil  nas ruas laterais.,,,Bolachas de receitas austríacas familiares.,"Sim, todas as receitas das bolachas.",Não,,,,
Wolf Grelhados - Hamburguer,Volume II,327,317,5,2,47,Equipamentos e Serviços,"Cafés, Bares e Lanches","R. Dr. Flávio Zetola, 371",Três Marias,83030-680,"-25.53336724092859, -49.211057853428585","A hamburgueria  se caracteriza por sua originalidade no preparo de diferentes combinações de ingredientes. O cardápio foge da concepção tradicional de hamburgures e fritas,  utilizando pães artesanais, formatos  criativos e inusitados.","Oferece uma experiência diferenciada, edições limitadas,  hamburguer preparado com croassaint  e  misturas inusitadas, como o  Fucking Fries, que leva batata palito frita, coberta com nutella, sorvete de creme e finalizado com leite ninho.",Urbana,(41)9 9256-4769,,,,,@_wolfsb,www.wolfsbr.com,-,Seg a Qui: 18:30h às 22:00h. Sex e Sáb:  18:30h às 23:00h  Horário pode variar nos feriados.,"Wi-fi, mesas para consumo no local, cadeirinhas para crianças",Sim,5 Km do aeroporto; menos de 1 Km do centro; 8 Km da BR 277,"Hamburgueres artesanais criativos,  mistura de ingredientes inovadoras",,Não. Estacionamento nas ruas gratuito.,,,"Hamburgueres artesanais, várias opções de hamburgures vegetarianos",Sim,Não,,,,
Zeppolis Pães e Doces,Volume II,328,318,5,2,48,Equipamentos e Serviços,"Cafés, Bares e Lanches","R. Paraiso, 484",Roseira de São Sebastião,83070-165,"-25.518400433089045, -49.125492821229585","É  uma pequena padaria e confeitaria artesanal com foco em produtos feitos à mão. Oferece desde pães de fermentação natural até bolos, doces, salgadinhos e itens personalizados como mini-assados e bolos temáticos.",O ambiente é acolhedor e indicado tanto para um café da manhã reforçado quanto para um lanche da tarde diferenciado. É uma boa opção para  turistas e viajantes  que passam pela região. ,Urbana,(41)98430-3095,,,, -, @zeppolipaesedoces,,,Seg a Dom: 06:000h às 20:00h. O horário pode variar em feriados.,,Sim,"12 Km até o aeroporto; 12 Km até o centro; 1,5 Km até a BR 116","Produtos feitos sem conservantes, atendimento simpático e ambiente agradável. Os produtos são bem acabados e cuidadosamente organizados na vitrine, proporcionando também uma experiência estética a quem passa por ali.",,,,,,,Não,,,,
,Volume II,329,,,,,,Compras e Apoio ao Turista,,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
Armazém do Produtor - Quiosque,Volume II,330,319,5,3,1,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Quinze de Novembro,  em frente ao No 2025",Centro,83005-000,"-25.538537542527752, -49.19901241311166",O armazém é um quiosque que funciona como importante ponto de venda de produtos  coloniais e  artesanato local.  Os vendedores são os próprios produtores que fazem rodízio entre si.,"No quiosque podem ser encontrados  molhos, conservas, doces, bolachas, chips de banana, geleias, queijos, suculentos  morangos congelados, mandioca, compotas, doces, dentre outras, dependendo da estação do ano.",Urbana,(41)9 8788-0672,,,,,@quiosqueecosolsjp,-,Aceita encomendas.,Seg a Sex: 09:00h às 18:00h. Sab: 09:00 às 14:00h. Dom: Fechado Horário pode variar  em feriados.,Venda de produtos coloniais e artesanato local produzidos pela Economia Solidária,Não,4 Km do aeroporto; encontra-se no centro; 850m  da Av. das Torres,"Produtos coloniais, morangos congelados.",,Não.  Estacionamento nas ruas laterais.,-,-,Venda de artesanato e produtos coloniais.,-,Não,,,,
Armazén Rústico - Moveis,Volume II,331,320,5,3,2,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Dr. Murici, 4155 - Costeira",Costeira,83015-290,"-25.567553223047177, -49.15529288534162","Armazém de móveis rústicos, oferece móveis de qualidade em madeira maciça tais como sofás em madeira e couro, bancos, a clássica namoradeiras, mesa e banquetas em  peroba, com detalhes em ladrilhos no estilo colonial.",Está localizado próximo ao  Caminho do Vinho e Colônia Murici.,Urbana,(41)9 9552-0664,(41) 3282-4100,-,-,-,@armazem.rustico,-,-,Seg a Sáb: 09:00h às 17:30h; Dom: Fechado. Horário pode variar  em feriados.,Venda de móveis rústicos,"Sim, mas dentro da loja a pessoa pode ter dificuldade em se locomover.",6 Km do aeroporto; 6 Km do centro; 600 m do Contorno Leste/BR 116,Móveis rústico;,,Sim,-,,Móveis rústicos em madeira,,Não,,,,
Arte Pharmacêutica,Volume II,332,321,5,3,3,Equipamentos e Serviços,Compras e Apoio ao Turista,"MATRIZ - R: Isabel a Redentora, 2076; R. Visc. do Rio Branco, 1945 - FILIAL",Centro (Matriz),83005-010,"-25.54006195257534, -49.19864681562129","Especializada em serviços farmacêuticos, possui um singelo museu da arte farmacêutica  composto por equipamentos e vidrarias antigas.","Dispõe de serviço de entrega de medicamentos e oferece uma ampla variedade de produtos de beleza, cuidados dermatológicos e complementos de saúde.",Urbana,(41)9 9169-4197,(41) 3383-0532,,,contato@artepharmaceutica.com.br,@artepharmaceutica,www.artepharmaceutica.com.br,-,Seg a Sex: 08:00h às 18:30h; Sáb: 08:00h às 13:00h. Horário pode variar  em feriados.,"Delivery de medicamentos homeopaticos, venda no balcão, farmácia de manipulação; delivery.",Sim,3 Km do aeroporto; esta no centro da cidade; 1 Km da BR 376,Pequeno museu da arte farmacêutico,-,Sim,-,-,"Manipulação, homeopatia, delivery, homeopatia veterinária",,Não,,,,
Az de Espadas - Loja,Volume II,333,322,5,3,4,Equipamentos e Serviços,Compras e Apoio ao Turista,"Rua Dona Izabel A Redentora, 1901",Centro,83005-010,"-25.53900886662414, -49.19991147954756","Loja tradicional  especializada na venda de materiais e equipamentos  para diversos modalidades esportivas, incluindo  sobrevivencialismo.","A loja oferece uma diversidade de produtos  para a prática de camping, cutelaria, defesa pessoal, natação, pesca, arco e flecha, futebol, artes marciais, natação, tênis e tênis de mesa. Também comercializa medalhas e troféus.",Urbana,(41)9 9698-3369,(41) 3035-4191,,,sacsite@azdeespadas.com.br,@loja_azdeespadas,www.azesportesecamping.com.br,-,Seg a Sex: 10:00h às 19:00h; Sáb: 09:00h às 13:00h. Horário pode variar em feriados.,Venda de equipamentos  materiais para vários tipos de esporte,Não,"3,3 Km do aeroporto;  encontra-se no centro;  4,5 Km da BR 116","Diversidade de artigos esportivos de diferentes modalidades; artigos e equipamentos para ciclistas, montanhismo",1944,Não,-,,Materiais e equipamentos  para prática de esportes,-,Não,,,,
Beija Flor - Plantas Nativas e Raras,Volume II,334,323,5,3,5,Equipamentos e Serviços,Compras e Apoio ao Turista,"Estrada do Gêre, 1540",Campo Largo da Roseira,83091-010,"-25.65636807244513, -49.2022287604432","Conhecida por sua coleção de plantas raras, como begônias, samambaias e cactos, além de flores sazonais como as flores de outubro, flores de maio e cacto orquídea, cada exemplar é cuidadosamente mantido.","O zelo e a dedicação da florista transparecem na beleza exuberante das folhas e flores, tornando a Beja Flor uma boa parada para os amantes da natureza e da jardinagem.",Rural,(41)9 9626-6685,,-,-,-,@beijaflorplantasraras;  @IraciPereiraIrisPereira/videos,-,-,Sab. Dom e Feriados: 08:00h às 18:00h. Horário pode variar em feriados.,"Venda de plantass nativas e raras, plantas medicinais e vasos no atacado e varejo",-,18 Km até o aeroporto; 17 Km do centro;  7 Km ate a BR 376,Plantas raras e nativas muito bem cuidadas,,Sim,-,-,"Plantas  nativas e raras de produção própria,   plantas medicinais e vasos no atacado e varejo.",-,Não,,,,
Bike Shop Adventure,Volume II,335,324,5,3,6,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Jorge Mansos do Nascimento Teixeira, 210",Centro,83005-500,"-25.54277480527817, -49.193083451731226","Loja especializada na venda de bicicletas, peças e equipamentos para ciclistas tanto amadores quanto profissionais. Promove diversos cursos ligados à manutenção da  bicicleta e à conduta do ciclista.","Oferece circuitos para todas as modalidades, sejam ciclistas iniciante ou experiente. Não é necessário possuir uma bicicleta própria para participar dos circuitos, pois a loja  oferece serviço de aluguel com uma variedade de modelos disponíveis.",Urbana,,(41) 3283-6829,-,,-,@bikeshoping,bikeshop.cgdw.com.br,Inscrições pelo site,Seg a Sex: 10:00h às 19:00h; Sáb: 09:00h às 13:00h. Dom: Fechado. Horário pode variar   em feriados.,"Venda de bicicletas, peças e equipamentos para ciclistas, organização de passeios para iniciantes e experientes; locação de bicicletas.",Sim,3 Km do aeroporto;  encontra-se no centro; 500m da BR 376,Venda de bicicletas nacionais e internacionais,,Não,-,-,Venda de bicicicletas e acessórios.,-,Não,,,,
Bio Arts - Marcenaria,Volume II,336,325,5,3,7,Equipamentos e Serviços,Compras e Apoio ao Turista,"Av. Rui Barbosa, 7735",Centro,83005-340,"-25.52755363263592, -49.19246232443843","Criação artesanal de  móveis rústicos   utilizando  madeiras que seriam descartadas em peças exclusivas, belas e duráveis.","Cada móvel é cuidadosamente tratado com resina epóxi e depois lapidado, gerando peças únicas  para cada cliente.  O trabalho é artesanal e a venda é feito por encomenda através de plataformas online. A loja física está programada para 2025.",Urbana,(41)9 9632-6659,(41) 9726-6529,,-,bioartsmarcenaria@gmail.com,@bioarts.marcenaria,www.bioartsmarcenaria.com.br,"Aceita  encomendas pelo site,  whatsapp ou email",Não possui loja física,Produção de móveis rústicos resinados com madeiras maciças,-,Loja física ainda não esta definida.,Móveis rústicos resinados  refinados e elegantes,-,-,-,Encomendas pelo site e whatsapp,Peças de madeiras maciças  artesanalmente resinadas,-,Não,,,,
Bolachas Vovó Elza,Volume II,337,326,5,3,8,Equipamentos e Serviços,Compras e Apoio ao Turista,"Rua Izabel A Redentora, 1434, Loja 128, Piso L1, Shopping São José",Centro,83005-010,"-25.53738903829133, -49.20436240423626","A loja tem sua origem nas receitas centenárias da Vó Elza da cidade de  Gaspar, Santa Catarina e estabelecidas em Curitiba desde 1998. A loja tem ótimas lembrancinhas  tradicionais e também criativas na forma de biscoitos para quem passa pela cidade.","Algumas opções criativas são as caixas de bolachas de mel cobertas com chocolate e amanteigados decorados com mini rosas, o biscoitos aquarela, que pode ser colorido e depois comido e o  pote coração, composto por 3 tipos de bolachas amanteigadas.",Urbana,,(41) 3216-1029,-,-,-,@bolachasvovoelza,lojabolachasvovoelza.com.br,Atende todo o Brasil,Seg a Sáb: 10:00h às 22:00h; Dom:14:00h às 20:00h. Horário pode variar  em feriados.,"Venda de biscoitos, presentes, lembrancinhas na forma de biscoitos e opções criativas. Vendas on line para todo o Brasil.",Sim,"4 Km do aeroporto;  encontra-se na área central;  1,5 Km da BR 376/Avenida das Torres",Lembrancinhas para todas as idades; biscoitos para colorir e comer,-,Sim,-,-,Biscoitos de receitas da família,Sim,Não,,,,
Casa do Campo - Móveis Rústico e Decoração,Volume II,338,327,5,3,9,Equipamentos e Serviços,Compras e Apoio ao Turista,"Rod. Br 376, 2131",Centro,83005-446,"-25.541845668035496, -49.190909406151526","A loja possui autenticidade e combina tradição, estilo e o charme do rústico. Cada peça é escolhida com esmero pela proprietária. Oferece uma variedade impressionante de móveis e objetos de decoração vindos de várias partes do Brasil.","Possui uma localização estratégica, próxima ao centro da cidade, facilitando o acesso a decoradores, designers de interiores e apreciadores de móveis rústicos. Também possui artigos para jardins, incluindo fontes de queda d´água  feitas à mão.",Urbana,(41)9 9589-0921,,-,-,casadocampo699@gmail.com,@casadocampomoveisrusticos; @casadocampo699,www.ccmoveisrusticos.com.br,-,Seg a Sex: 09:00h às 18:00h. Sab:  09:00h às 14:00h;  Dom e Feriados: Fechado,"Venda de diveross móveis rústicos e artigos de decoração para casas de campo, decoração estilo country. Móveis rústicos mineiros,  de madeira de demolição, balanços, namoradeiras, aparadores, mesas, cristaleiras",Não,"2,5 Km do aeroporto;  menos de 500 m do centro; encontra-se na BR 376","Proprietária faz criteriosa curadoria de peças de madeira, objetos de cerâmica de todo o Brasil. Local para quer ter inspiração e  ter idéias para de casa de campo e decoração  estilo country. Peças para decoradores.",,Sim,-,-,"Móveis rústicos e objetos de de coração para casas de campo, estilo country",-,Não,,,,
Cerâmica Tortato,Volume II,339,328,5,3,10,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Teófilo Negosek, 296  (Também chamada de Nestor Negoseki)",Colônia Zacarias,83020-836,"-25.585927318045403, -49.2022535070297","O local  é  simples  e reúne  cerâmica e  olaria.   Os produtos surpreendem pela qualidade   e acabamento dos tijolos refratários  usados para  a construção de fogões a lenha e churrasqueiras, incluindo tijolos maciços, curvos e com diferentes espessuras.","Além disso, oferece acessórios  de ferro fundido de alta qualidade como fornos, chapas e portas, garantindo um acabamento resistente e duradouro.  O proprietários são atenciosos e o local ainda tem equipamentos para quem gosta de cozinhar.",Rural,(41)9 8536-3345,,,,,https://linktr.ee/tortatoficial; @tortatoficial,www.tortatoficial.com.br,Aceita encomendas e entrega para todo o Brasil.,Seg a Sex: 08:00h às 18:00h. Sab: 09:00h às 17:00h.  Horário pode variar  em  feriados.,"Venda e fabricação  de tijolos refratários, incluindo tijolos curvos e de revestimento de lareiras; venda de acessórios  de ferro para lareiras, fogões a lenha e churrasqueiras",Não.,9 Km ate o aeroporto;  8 Km ate o centro; 2Km ate a BR 376/116;,"O tijolos refratários  maciços e curvos de alta qualidade, produtos de ferro da região de Cláudio, MG que combinam perfeitamente com os tijolos; produtos de ferrro para cozinha rústica",,Sim,-,-,"Tijolos refratários e artigos de ferro fundido de alta qualidade e resistência, artigos de ferro fundido para cozinha.",-,Não,,,,
Chácara Gomes - Produtos Rzeznik,Volume II,340,329,5,3,11,Equipamentos e Serviços,Compras e Apoio ao Turista,R. Lisímaco Cruz - Area Rural,,,"-25.759879947665215, -49.19262488338016","O local é rústico e  oferece sucos, doces, salgados e produtos coloniais, venda de cogumelos paris, morango, verduras e legumes.",,Rural,(41)9 9701-7985,,,,,@produtosrzeznik,-,-,Sab e Dom: 14:00h às 22:00h. Seg a Sex: Fechado.,"Venda de sucos, doces e salgados e produtos coloniais, venda de cogumelos paris, morango, verduras e legumes",Sim,32 Km do aeroporto;  31 Km do centro; 10 Km da BR 376,"Lanches coloniais, verduras, legumes, morangos, cogumelo Paris.",,Sim,-,,"Cogumelos Paris, Morango, Verduras e Legumes, lanches coloniais",',Não,,,,
Complexo Comercial  R7,Volume II,341,330,5,3,12,Equipamentos e Serviços,Compras e Apoio ao Turista,"Alameda Arpo, 2565",Costeira,83010-290,"-25.55994512175981, -49.16532378889111","É um centro comercial de médio porte localizado no bairro Costeira.. Oferece  aproximadamente 32 lojas  distribuídas entre  comércio e serviços localizada em ponto  estratégico para quem  está na região, ou próximo ao Caminho do Vinho. Ponto de parada  estratégico muito apreciado por ciclistas.",,Urbana,,,-,,, @r7comercialalameda,,,Lojas possuem horário de funcionamento distintos. Horário pode variar nos feriados.,"Restaurantes, sorveteria, farmácia, academia,  ferragens, produtos de beleza, loja de reparos e equipamentos para bicicletas, academia, loja de suplementos, dentre outros.",Sim,"4,5 Km ate o aeroporoto; 5 Km ate o centro;  1 Km da BR 116",Serviços e compras de apoio ao turista/ciclistas,,Sim,100 veículos,,Comércio e serviços,,Não,,,,
Copenhagen Store Moda Country,Volume II,342,331,5,3,13,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Barão do Cerro Azul, 2828",Santo Antônio,83025-140,"-25.552923945146294, -49.20505495674636","É referência em moda country e também se destaca pelo apoio a eventos da cultura country, incluindo projetos voltados para jovens. Oferece variedade de produtos masculinos, femininos e infantis, incluindo para bebês, além de  acessórios de couro legítimo.","Destacam-se peças bordadas para rodeios, chapéus em feltro e palha, botas texanas, botinas para trabalho, fivelas, moda campeira e itens tradicionais como tererê e cuia. Desenvolve o  projeto 4 x 4  que visa divulgar a cultura country entre jovens.",Urbana,(41)9 9952-6687,,-,-,-,@copenhagenstorebrasil,www.copenhagenoficial.com.br,-,Seg a Sex: 09:30h às 19:00h. Sab:  09:30h às 18:00h;  Dom: Fechado. Horário pode variar  em feriados.,"Produtos masculinos, femininos e infantis, acessórios de couro legítimo, tais como carteiras, chaveiros e botas, peças bordadas, chapéus em feltro e palha, botas texanas, botinas para trabalho, fivelas, tererê e cuia, moda bebê country",-,6 Km do aeroporto;  2 Km do centro;  3 Km da BR 376,"Moda country e campeira, moda bebê country a partir de 3 meses. Projeto 4 x 4  que busca divulgar e fortalecer a cultura country entre os jovens.",-,Sim,-,-,Moda country,-,Não,,,,
Empório Vinhos & Olivas,Volume II,343,332,5,3,14,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Joinville, 3060",São Pedro,83020-000,"-25.551654302397562, -49.19343619422496","O Empório Vinhos e Olivas é conhecido por sua seleção sofisticada de produtos importados de alta qualidade, incluindo chocolates Nugali, variedades de azeitonas,   tábua de frios com produtos da Vale Fertil e presentes especiais.","Também são encontrados   queijos, com destaque para o Queijo Tipo Asiago Witmarsum, de sabor doce e delicado e os vinhos selecionados para cada ocasião.",Urbana,(41)9 9164-6655,(41) 3283-2461,-,-,emporio@vinhoseolivas.com.br,@emporio_vinhoseolivas,,Aceita encomendas,Seg a Sab: 09:00h às 19:00h. Dom: Fechado. Horário pode variar  em feriados.,"Seleção de vinhos, produtos importados, variedade de queijos, azeitonas e chocolates, presentes",Sim,4 Km do aeroporto; 2 Km do centro; 1 Km da BR 376,"Azeitonas, Produtos Vale Fértil, caponata siciliana,  pão italiano artesanal.",,Sim,-,,Empório de produtos de alta qualidade,-,Não,,,,
Feira do Produtor - Mercado,Volume II,344,333,5,3,15,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Colombo, 1975",Centro,83025-300,"-25.53690546311725, -49.194890167486825",Feira dos produtores locais que acontece aos sábados no estacionamento da loja agropecuária CLAC - Cooperativa de Laticinios Curitiba Ltda.,"Nesta  feira, são vendidos produtos tais como embutidos,  hortaliças, pães caseiros, massas e bolos. Ela permite que os produtores comercializem o excedente de produção que não conseguiram vender durante a semana.",Urbana,,(41) 3035-5850,-,-,-,@cooperativa-de-laticinios-curitiba,https://clac.lwsite.com.br/,-,Sáb: 08:00 às 12:00h. Horário pode variar  em feriados.,Venda de produtos agropecuarios e coloniais.,-,4 Km até  o aeroporto; encontra-se no centro;  500 m da A. das Torres,Venda de produtos direto do produtor,-,Não. Estacionamento gratuito na rua.,-,-,Produtos  agropecuários e coloniais,-,Não,,,,
Fiets Bikes,Volume II,345,334,5,3,16,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Jorge Mansos do Nascimento Teixeira, 780",São Pedro,83005-500,"-25.547347500399194, -49.19562491958006","A Fiets se destaca por oferecer bicicletas e equipamentos de alta qualidade para ciclistas de todos os níveis, seja para estrada, pista ou trilha.  Ponto de parada  e de apoio para ciclistas  e  simpatizantes, possui um café junto com a loja.","A empresa atende tanto atletas profissionais quanto amadores. Além de bicicletas, oferece uma variedade de produtos complementares, como tênis, vestuário, peças e equipamentos.",Urbana,,(41) 3146-5945,-,,,@fietssaojose,www.fiets.com.br,-,Seg a Sex: 10:00h às 19:30h; Sáb: 09:00h às 13:00h. Horário pode variar  em feriados.,"Venda de bicicletas,  vestuário, peças, equipamentos, consertos, ponto de apoio ao turista, café.",Sim,"3,6 Km do aeroorto;  2 Km do centro; 4 Km até a BR 376","Variedade de bicicletas importadas e nacionais,  café e ponto de apoio para ciclistas",,Sim,-,-,Venda de bicicleta,,Não,,,,
Holy Bikes,Volume II,346,335,5,3,17,Equipamentos e Serviços,Compras e Apoio ao Turista,"Alameda Arpo, 2565, loja 20 -  Complexo R7",Ouro Fino,83010-290,"-25.56010268442604, -49.16538167150898","A Holy Bikes é uma loja especializada em bicicletas novas e usadas, peças e acessórios, estrategicamente posicionada no complexo R7, por onde passam inúmeros ciclistas. A loja oferece equipamentos de manutenção e apoio aos ciclistas.",,Urbana,,(41) 3678-0193,-,-,-,@holybikessjp,-,-,Seg a Sex: 9:00 às 19:00h; Sáb.: 9:00h às 14:00h; Dom: Fechado. Horário pode variar  em feriados.,,,"4,5 Km ate o aeroporoto; 5 Km ate o centro;  1 Km da BR 116",,,,,,Bicicletas,,Não,,,,
Mercado Zeglin,Volume II,347,336,5,3,18,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Carlos Kusma, 59",Faxina,83183-000,"-25.763074888993515, -49.18353217670138","Oferece compras estratégicas para o dia a dia para os moradores locais e para quem está passando pela região. São encontraos itens básicos como  alimentos, itens de higiêne e limpeza, água, cuias para chimarrão, etc.",,Rural,(41)9 9591-9333,(41) 3046-9003,-,,-,-,-,-,Seg a Sáb: 07:30h às 17:45h. Domingos e feriados: Fechado. Horário pode variar durante feriados religiosos e festas de final de ano.,Comercializa gêneros alimentícios em geral e entrega à domicílio.,-,31 Km do aeroporto;  30 Km do centro; 9 Km da BR 376,-,-,Sim,-,-,Comercialização de itens básicos,-,Não,,,,
Mobiliario do Designer Roni Sebben,Volume II,348,337,5,3,19,Equipamentos e Serviços,Compras e Apoio ao Turista,Estrada da Velha Guaricana,Roça velha,,"-25.729927538120076, -49.095586323667966","Roni Sebben é um ecodesigner e empresário de projetos de madeira além de proprietário de reserva particular na Serra da Guaricana. Roni transforma  troncos descartados e árvores retiradas pela Copel  em bancos, esculturas de madeira, puffs de eucalipto.",Suas peças valorizam e dão visibilidade ao material natural e também proporciona uma destinação nobre para a madeira.,Urbana,,(41) 9995-7851,-,-,roni@ronimarmoveis.com.br, @roni.sebben; https://www.youtube.com/watch?v=QfLOXObFmV0,-,-,-,"Alguns dos trabalhos estão dispostas no Parque são José, na Praça do Verbo Divino e na torre panorámica de Curitiba",Sim,30Km até o aeroporto; 29 Km km até o centro; 5 Km até a BR 376,Produtos rústicos que harmonizam-se com a paisagem.,-,-,-,-,Escultura em madeira,-,Não,,,,
Konhol - Agroindústria Geleias e Doces,Volume II,349,338,5,3,20,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Dr. Murici, 7166",Colônia Murici,83085-235,"-25.582352449619442, -49.13454043617912","Empresa familiar que se dedica à produção artesanal de doces e  molho de tomate. Boa parte das matérias-primas utilizadas na produção é cultivada na propriedade da família. O pomar da  agroindústria funciona como uma sala de aula aberta, sendo procurado desde  estudantes universitários à escoteiros que se interessam em conhecer a produção agrícola da família.","O nome foi criado pelo primeiro dono da propriedade, o Sr. Kondrat Holtman, que é o avô da geração atual que está à frente da produção. ""Granja"" refere-se a uma pequena propriedade rural. “Konhol” deriva do nome do Sr. Kondrat, responsável pela criação de um anagrama com as iniciais de seu próprio nome e que deu origem à marca Konhol.",Rural,(41)9 9244-6016,,-,,ester_holtman@hotmail.com,@g.konhol,,,Seg a Sex: 9:00h às 17:00h; Sáb: 9:00h às 12:00h. Abre nos feriados. Domigo: Fechado,,,"9 Km até o aeroporto; 9 Km até o centro; 3,5 Km até a BR 376",Oferece visitas guiadas ao pomar.,,Sim,,,Doces e molho de tomate artesanais,,Não,,,,
Pezão - Morangos,Volume II,350,339,5,3,21,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Benjamim Negoseki, 5556A",Cachoeira,83021-250,"-25.593642765670054, -49.23638113677489","Produção de morangos in natura e congelados. Seus  frutos são muito apreciados pelos moradores locais, comerciantes  e  boleiras da região  que usam a fruta no preparo de  arranjos.",A propriedade cultiva morangos  para abastecer a Ceasa. As encomendas devem ser feitas previamente pelo whatsapp e agendar o horário para retirada no local.,Rural,(41)9 9196-2966,,-,Maria Cecília Negoseki,mnegoseki@yahoo.com.br,-,-,Sim,"De outubro a março, durante a temporada de morangos,  atende todos os dias das 06:30 às 18:00h",Cultivo  de morangos,sim,"13 Km do aeroporto; 7,8Km do centro; 3,7 Km da BR 376;  650 da BR 376",-,-,Sim,-,-,"Morangos ""in natura"".",-,Não,,,,
Poncho Crioulo,Volume II,351,340,5,3,22,Equipamentos e Serviços,Compras e Apoio ao Turista,"R. Joinville, 3829",São Pedro,83005-550,"-25.55610513208703, -49.1876796365401","Loja indicada para quem aprecia as modas campeira e country. Oferece produtos veterinários, rações em geral e selaria. É reconhecida pelo incentivo ao desenvolvimento agropecuário no município e realiza entregas para todo o Brasil.","Dispõe de uma ampla variedade de trajes gaúchos e country, incluindo calças, botas, chapéus masculinos e femininos, cintos e produtos de couro, além de ponchos femininos, saias de prenda, bombachas capeiras, ponchos crioulo e saias em Oxford.",Urbana,(41)9 9225-4009,,-,-,-,@ponchocrioulo,-,-,Seg a Sex: 08:00h às 18:00h. Sab:  08:00h às 15:00h. Domingo: Fechado.  Horário pode variar  em feriados,"Produtos veterinarios, moda country, moda capeira",Sim,5 Km  até o aeroporto; 3 Km do centro; 1 Km até a Av. das Torres,-,1998,Sim,-,-,"Produtos veterinários, moda campeiro e moda country",-,Não,,,,
Portal Móveis Rústicos,Volume II,352,341,5,3,23,Equipamentos e Serviços,Compras e Apoio ao Turista,"Rodovia BR 376 km 14 n15250 - , São José dos Pinhais - PR, 83015-000",Ouro Fino,83015-000,"-25.564862887860528, -49.183553943102496","Oferece móveis rústicos de fabricação própria feitos com  madeira de demolição.  Destacam-se as tradicionais cristaleiras de madeira de peroba, os bancos com couro,  as grandes mesas de madeira com cadeiras ripadas, dentre outros.",Uma loja para quem gosta de apreciar a arte de trabalhar a madeira,Rural,(41)9 9205-6339,(41) 3336-6317,-,-,-,@portalmoveisrusticos; @portalmoveisrusticosmurici,,Aceita encomendas.,Seg a Sex: 09:00h às 18:00h. Sab: 09:00h às 16:00h; Dom: Fechado. Horário pode variar  em feriados.,Fabricação e venda de móveis rústicos de madeira de demolição,Sim,4 Km ate o aeroporto; 4 Km ate o centro;  3 Km da BR 376,Móveis pesados e resistentes.,,Sim,-,-,Móveis rústicos de madeira de demolição.,-,Não,,,,
